id,type,name,passwd,sex,dept

0502000,2,邓飞飙,123456,1,化学院科研处

0402000,2,吕黎明,123456,1,物理学院科研处

0302000,2,冀星阑,123456,1,数学院科研处

0202000,2,孙小洁,123456,2,文学院科研处

0102000,2,关璇子,123456,2,教育学院科研处

0003000,3,admin,123456,1,科研处

0002000,2,盖梦茹,123456,2,计算机学院科研处

0001000,1,龚静涵,I$f}3^2:T3]$V$56Q&jIMB{j9v#2]Z<b,2,计算机学院

0101001,1,丁如风,aQd.%nv?2(2VpX^v0$r#'ax!g/|43-6*,2,教育学院

0201002,1,朱慧艳,"U;&8t]7*X|n~G,u~0f8os,$K[=w/tVz4",2,文学院

0301003,1,石友儿,"HTD0.[*6zS[*qI!-\Ay""=4k[nmbc!&A5",2,数学学院

0401004,1,蒋柳思,"s\SKI,wpI=]sMTKZL*Fnu;U.""n)>niDy",2,物理学院

0501005,1,何玄清,Cyl1(~#J-9S7r_*)'C777'9)J|qzFdMo,2,化学院

0001006,1,常寒凝,DOWe})%*v_O47;p1ff(&gZ#HfHZ[vxgu,2,计算机学院

0101007,1,卢蝶梦,"%K%Vd#N!Jzq&xWNcKx&-|CEL57""tPc@}",2,教育学院

0201008,1,林华琳,"<qyn/n:3Gx<""Sy!c7;Qo_uoD""'463Sp?",2,文学院

0301009,1,彭娴婉,"eW.g_vK\G5$o{vSKxjn""5f^UQd|u\L|#",2,数学学院

0401010,1,程惠芳,"#)N):#VAHaHF,ZI~aFNXzoBQT""vvRO$@",2,物理学院

0501011,1,顾文敏,E%0mD)+6S@.7OiiX^mxls$cFD^f';qgU,2,化学院

0001012,1,姚韫玉,"&#POx*Nc""|F>(Bxpg6goUkE}}JYO<~HP",2,计算机学院

0101013,1,金子怡,"1VeP,_(6>auZf}Fext)6~/BvKSgq<cYO",2,教育学院

0201014,1,戴晏如,(?*%YBVY6)d[}Bm)eX[M5qd['*'i9wm<,2,文学院

0301015,1,阎秋怡,ySgF{~~C4MggQe^.6m5qwpgq#oLr9Ku=,2,数学学院

0401016,1,易幼翠,=Uc-=.X0/qB|H$$;x\pqJY_|663p<=ki,2,物理学院

0501017,1,郑沛岚,"3if)\&HP*QFE&1HU9}(-#o>p,0Yt_{Sg",2,化学院

0001018,1,冯彭丹,K@PY%4KV.s]-{ge;6vUwO!LEj&w:UWl},2,计算机学院

0101019,1,文国琴,pb/BRU8Q(UA##sjZ-g$>i#w7-BY&'90',2,教育学院

